id,Wahl,Kanton,Datum,Zeit,Total,FDP,LPS,FDP.LPS,  CVP,  SP,  SVP,  GLP,  BDP,  GPS,  EVP,  CSP,PdA.AL.Sol.PSA,EDU.SD.Lega.MCR,Links,Mitte,Rechts,weitere
0,Stand 2015,Stand 2015,18.10.2015,00:00:01,2559,525,19,544,450,454,582,83,74,175,41,15,34,62,663,663,1188,45
1,Jura 18.10.2015,Jura,18.10.2015,23:59:59,60,1,0,1,-2,-2,4,0,0,0,0,0,-1,0,-3,-2,5,0
2,Sankt-Gallen 28.02.2016,Sankt-Gallen,28.02.2016,00:00:01,120,4,0,4,-3,0,5,-3,-2,0,-2,0,0,0,0,-10,9,1
3,Uri 28.02.2016,Uri,28.02.2016,23:59:59,64,3,0,3,-1,-1,1,0,0,-1,0,0,0,0,-2,-1,4,-1
4,Schwyz 20.03.2016,Schwyz,20.03.2016,12:00:00,100,-1,0,-1,-2,3,-2,3,0,0,0,0,0,0,3,1,-3,-1
5,Thurgau 10.04.2016,Thurgau,10.04.2016,12:00:00,130,2,0,2,-1,-2,3,1,-2,0,0,0,0,-1,-2,-2,4,0
6,Schaffhausen 25.09.2016,Schaffhausen,25.09.2016,12:00:00,60,-1,0,-1,-1,0,1,4,0,-2,0,0,-1,0,-3,3,0,0
7,Aargau 23.10.2016,Aargau,23.10.2016,00:00:01,140,0,0,0,-2,5,0,-1,-2,0,0,0,0,0,5,-5,0,0
8,Basel-Stadt 23.10.2016,Basel-Stadt,23.10.2016,23:59:59,100,-2,4,2,-1,1,0,-1,0,1,0,0,0,0,2,-2,2,-2
9,Freiburg 06.11.2016,Freiburg,06.11.2016,12:00:00,110,4,0,4,-4,-1,0,-1,-2,3,0,0,0,0,2,-7,4,1
10,Wallis 05.03.2017,Wallis,05.03.2017,12:00:00,130,-2,0,-2,-6,-1,2,0,0,6,0,1,0,0,6,-6,0,0
11,Solothurn 19.03.2017,Solothurn,19.03.2017,12:00:00,100,0,0,0,-2,4,-1,-1,0,0,0,0,0,0,4,-3,-1,0
12,Neuenburg 02.04.2017,Neuenburg,02.04.2017,12:00:00,115,8,0,8,1,-1,-11,-1,0,5,0,0,-1,0,3,0,-3,0
13,Waadt 30.4.2017,Waadt,30.04.2017,12:00:00,150,2,0,2,-2,-4,-2,0,0,2,0,0,0,0,-2,-2,0,4
